项目,状态,证据
原理图 ERC,通过,erc.json
裸板 DRC / 未连接 / 原理图一致性,通过,drc.json
16 组 LED 与相邻双 PD 固定映射,通过,design_validation.json; led_pd_mapping.csv
板框及32个光学器件坐标与方向,通过,design_validation.json; optical_placement.csv
E4 原文件哈希未改变,通过,source_hashes.json; design_validation.json
载框 DRC / 电路及框体一致性,通过,carrier/drc.json; carrier_validation.json
BOM / CPL / Gerber / 钻孔 / 本地库,通过,manufacturing_validation.json
过孔钻孔到贴片焊盘间距,通过,via_assembly_validation.json
原理图及机械装配 PDF 视觉检查,通过,visual_review.json
工厂 DFM / 备料 / 平台角度 / 钢网,待工厂确认,assembly_notes.md
双 PD 同步 / 建立时间 / 串扰 / 有效位数,待首板实测,first_board_tests.csv
50 帧每秒 / 样本配对 / 停 CPU 灭灯,待固件及首板实测,firmware_contract.md; first_board_tests.csv
TLV9062及100Ω/330pF典型模型稳定性/建立时间,仿真通过；首板待测,analog_validation.json; analog_validation_report.md
模拟噪声,预算已量化；验收门限及实测待完成,analog_validation_report.md; first_board_tests.csv
启用五类原先忽略的DRC规则并修正过孔居中/封装筛选,通过,drc.json; production_refinement_report.md
J1专用焊盘及5针线序,通过,connector_validation.json; connector_pinout.pdf
输入限流和过压恢复静态核算,通过,power_protection_validation.json; connector_and_power.md
热插拔/短路/过压恢复与实际排线,待首板实测,first_board_tests.csv
