ID,阶段,事项,当前状态,责任方,关闭证据,完成日期
H01,贴片前,NRST近端100nF与接口保护评审,电路已修改，实物复位及ESD检查待完成,硬件设计,C32、R14、D18/D19；原理图与PCB,
H02,量产前,LED故障态最长发光时间与关断方案,单次硬件限时已设计，故障注入与平均占空比验证待完成,硬件及固件,U12/U13；firmware_contract.md；first_board_tests.csv,
H03,贴片前,D14与D5近孔焊盘间隙,已重布；最终间隙以electrical_metrics.json为准,硬件及工厂,原两颗近焊盘过孔已移除,
H04,量产前,16路TIA噪声与饱和及建立时间,未实测,测试,first_board_tests.csv：逐路暗态、照光、饱和、串扰及建立时间,
H05,贴片前,3.3V主机与FFC脚序及接口边界,增加正向过压关断；主机时序及线序仍需系统确认,系统设计,J1输入3.20–3.40V；主机信号掉电高阻；不承诺反接耐受,
L01,改版时,去耦距离与ADC参考回流优化,已调整局部布局和ADC回流，噪声实测待完成,硬件设计,physical_summary.json；C29/C30接GND,
P01,贴片前,33类物料齐套与实际损耗,实时库存、损耗和齐料未确认,采购及工厂,material_freeze/bom_frozen_2pcs.csv,
P02,贴片前,J1自备料包装及入库,未确认,采购及工厂,,
P03,贴片前,载框支撑及二次铣断DFM,未确认,工厂,,
P04,贴片前,钢网及回流与QFN/LGA检查,未签核,工厂,,
P05,贴片前,光学器件包装及清洗返修条件,待确认,工厂,,
P06,首件时,142位号与32颗光学器件方向,CAD方向核对；实物及工厂贴片旋转待确认,工厂及硬件,142个正面位号，32颗光学器件；CPL与装配图,
P07,量产前,HEX或BIN及option-bytes烧录规范,缺交付文件,固件,,
P08,首板时,供电SWD-UART与中央IMU验证,未实测,测试,,
P09,量产前,测试治具与可执行PASS-FAIL阈值,未定版,测试及固件,,
P10,量产前,佩戴结构与真实光路及发射条件,未验证,结构及光学,,
P11,改版后,新原理图PCB与制造包重新同步校验,工程文件检查通过；工厂及首板验证仍待完成,硬件设计,ERC、DRC、原理图PCB/BOM/CPL、CAM和ZIP校验,2026-09-08
