ID,阶段,事项,当前状态,责任方,关闭证据,完成日期
H01,贴片前,NRST近端100nF与接口保护评审,待修改,硬件设计,,
H02,量产前,LED故障态最长发光时间与关断方案,待设计及实测,硬件及固件,,
H03,贴片前,D14与D5近孔焊盘间隙,待调整或工厂明确接受,硬件及工厂,,
H04,量产前,16路TIA噪声与饱和及建立时间,未实测,测试,,
H05,贴片前,3.3V主机与FFC脚序及接口边界,待确认,系统设计,,
L01,改版时,去耦距离与ADC参考回流优化,待评审,硬件设计,,
P01,贴片前,25类物料齐套与实际损耗,未确认,采购及工厂,,
P02,贴片前,J1自备料包装及入库,未确认,采购及工厂,,
P03,贴片前,载框支撑及二次铣断DFM,未确认,工厂,,
P04,贴片前,钢网及回流与QFN/LGA检查,未签核,工厂,,
P05,贴片前,光学器件包装及清洗返修条件,待确认,工厂,,
P06,首件时,122位号与32颗光学器件方向,待实物检查,工厂及硬件,,
P07,量产前,HEX或BIN及option-bytes烧录规范,缺交付文件,固件,,
P08,首板时,供电SWD-UART与中央IMU验证,未实测,测试,,
P09,量产前,测试治具与可执行PASS-FAIL阈值,未定版,测试及固件,,
P10,量产前,佩戴结构与真实光路及发射条件,未验证,结构及光学,,
P11,改版后,新原理图PCB与制造包重新同步校验,待改版后执行,硬件设计,,
V01,当前审查,单板DRC未连接及原理图一致性,本次均为零,已检查,unit_drc.json,2026-09-08
V02,当前审查,载框DRC与未连接,本次均为零,已检查,carrier_drc.json,2026-09-08
V03,当前审查,原理图ERC,本次为零,已检查,erc.json,2026-09-08
V04,当前审查,生产ZIP的149条清单与当前文件比对,全部匹配,已检查,package_check.json,2026-09-08
